ID,스킬명,스킬 사운드 이름,히트 사운드 이름
39048,기본 공격,SFX_Vefects_Anime_Stylized_Dash,Hit 9 
39011,파이어 볼,SFX_Vefects_Anime_Stylized_FireBall_Cast,Hit 14
39013,전기 충격,SFX_Vefects_Flipbook_Lightning_01,Hit 8
39035,화살 공격,SFX_Vefects_Anime_Stylized_Arrow_Shot_Cast,Hit 12
39043,물폭탄,SFX_Vefects_Water_Ground_Splash_Small,Hit 5 
39028,결정화,SFX_Vefects_Shots_Squib_Concrete,SFX_Vefects_Hit_05_One_Shot
39003,불꽃 파편,SFX_Vefects_Stylized_Slash_Fire,SFX_Vefects_Stylized_Magic_Attack_Fire_Hit
39025,하트 블룸,SFX_Vefects_Anime_Stylized_Pick_Up,SFX_Vefects_Stylized_Magic_Attack_Sound_Hit
39007,슈팅 스타,SFX_Vefects_Stylized_Magic_Attack_Ice_Hit,SFX_Vefects_Critical_Attack_01
39040,팝팝,Flash 13,Hit 13
39005,레이저 빔,SFX_Vefects_Space_Laser_Loop,SFX_Vefects_Hit_07_Loop_01
39047,프리즘 레이저,SFX_Vefects_Vignettes_Healing_Loop,Hit 9 
39031,소울,SFX_Vefects_Vignettes_Charmed_Loop,SFX_Vefects_Radial_Spilky_Hit_One_Shot_01
39024,크림슨 볼트,SFX_Vefects_Blood_Slashes,Hit 14
39016,윈드 블레이드,SFX_Vefects_Anime_Stylized_Dash,Hit 11
39015,솔라 코어,SFX_Vefects_Anime_Stylized_Lightning_Cast,Hit 6
39018,트윙클 샷,Hit 13,SFX_Vefects_Critical_Attack_01.wav
39034,블랙 애로우,Flash 1,Hit 8
39020,녹빛 탄환,Flash 8,Hit 15
39017,앰버 샷,Flash 4,Hit 4
39044,블러드 오브,SFX_Vefects_Flipbook_Explosion_Magic_03,SFX_Vefects_Flipbook_Impact_Blood_01
39029,인페르노 버스트,x,x
39030,만개,x,x
39027,대지 전개,x,x
39021,얼음의 심판,x,x
39009,전류 폭풍,x,x
39002,놕뢰 폭풍,x,x
39026,천공 마법진,x,x
39019,메테오 스트라이크,x,x
39010,운석 강림,SFX_Vefects_Space_Missile_Impact,x
39023,,,
39045,,,
39008,,,
39049,,,
39032,,,
39036,,,
39041,,,
39042,,,
39014,,,
39046,,,
39004,,,
39022,,,
39037,,,
39050,,,
39033,,,
39038,,,
39012,,,
39039,,,
39006,,,
