List_2_ID,List_2_Name_ID,Grade ID,Bookmark_ID
27001,80320219,1501,11018
27002,80320220,1502,11019
27003,80320221,1503,11020
27004,80320222,1505,11021
27005,80320223,1504,11022
27006,80320224,1504,11023
27007,80320225,1501,11024
27008,80320226,1505,11025
27009,80320227,1503,11026
27010,80320228,1502,11027
27011,80320229,1503,11028
27012,80320230,1503,11029
27013,80320231,1502,11030
27014,80320232,1502,11031
27015,80320233,1505,11032
27016,80320234,1503,11033
27017,80320235,1501,11034
27018,80320236,1501,11035
27019,80320237,1501,11036
27020,80320238,1504,11037
27021,80320239,1502,11038
27022,80320240,1501,11039
27023,80320241,1503,11040
27024,80320242,1501,11041
27025,80320243,1504,11042
27026,80320244,1502,11043
27027,80320245,1505,11044
27028,80320246,1503,11045
27029,80320247,1504,11046
27030,80320248,1503,11047
27031,80320249,1502,11048
27032,80320250,1501,11049
27033,80320251,1502,11050
27034,80320252,1503,11051
27035,80320253,1503,11052
27036,80320254,1502,11053
27037,80320255,1503,11054
27038,80320256,1502,11055
27039,80320257,1504,11056
27040,80320258,1503,11057
27041,80320259,1504,11058
27042,80320260,1503,11059
27043,80320261,1501,11060
27044,80320262,1502,11061
27045,80320263,1505,11062
27046,80320264,1504,11063
27047,80320265,1502,11064
27048,80320266,1501,11065
27049,80320267,1505,11066
27050,80320268,1501,11067
27051,80320269,1501,11068
27052,80320270,1501,11069
27053,80320271,1501,11070
27054,80320272,1503,11071
27055,80320273,1503,11072
27056,80320274,1502,11073
27057,80320275,1502,11074
27058,80320276,1504,11075
27059,80320277,1501,11076
