List_ID,List_Name_ID,Option_1_ID,Option_2_ID,Option_3_ID,Option_4_ID
14001,80350211,1301001,1301002,1301003,0
14002,80350212,1301004,1301005,1301006,1301007
14003,80350213,1301008,1301009,1301010,0
14004,80350214,1301011,1301012,1301013,0
14005,80350215,1301014,1301015,1301016,1301017
14006,80350320,1302018,1302019,1302020,0
14007,80350321,1302021,1302022,1302023,1302024
14008,80350322,1302025,1302026,1302027,0
14009,80350323,1302028,1302029,1302030,0
14010,80350324,1302031,1302032,1302033,1302034
14011,80350325,1303035,1303036,1303037,0
14012,80350326,1303038,1303039,1303040,1303041
14013,80350327,1303042,1303043,1303044,0
14014,80350328,1303045,1303046,1303047,0
14015,80350329,1303048,1303049,1303050,1303051
14016,80350330,1304052,1304053,1304054,0
14017,80350331,1304055,1304056,1304057,1304058
14018,80350332,1304059,1304060,1304061,0
14019,80350333,1304062,1304063,1304064,0
14020,80350334,1304065,1304066,1304067,1304068
14021,80350335,1305069,1305070,1305071,0
14022,80350336,1305072,1305073,1305074,1305075
14023,80350337,1305076,1305077,1305078,0
14024,80350338,1305079,1305080,1305081,0
14025,80350339,1305082,1305083,1305084,1305085
14026,80350340,1306086,1306087,1306088,0
14027,80350341,1306089,1306090,1306091,1306092
14028,80350342,1306093,1306094,1306095,0
14029,80350343,1306096,1306097,1306098,0
14030,80350344,1306099,1306100,0,0
14031,80350345,1306101,1306102,1306103,0
14032,80350346,1306104,1306105,1306106,1306107
14033,80350347,1306108,1306109,1306110,0
14034,80350348,1306111,1306112,1306113,0
14035,80350349,1306114,1306115,0,0
14036,80350350,1306116,1306117,1306118,0
14037,80350351,1306119,1306120,1306121,1306122
14038,80350352,1306123,1306124,1306125,0
14039,80350353,1306126,1306127,1306128,0
14040,80350354,1306129,1306130,0,0
14041,80350355,1306131,1306132,1306133,0
14042,80350356,1306134,1306135,1306136,1306137
14043,80350357,1306138,1306139,1306140,0
14044,80350358,1306141,1306142,1306143,0
14045,80350359,1306144,1306145,0,0
14046,80350360,1306146,1306147,1306148,0
14047,80350361,1306149,1306150,1306151,1306152
14048,80350362,1306153,1306154,1306155,0
14049,80350363,1306156,1306157,1306158,0
14050,80350364,1306159,1306160,0,0
14051,80350365,1307161,1307162,1307163,0
14052,80350366,1307164,1307165,1307166,1307167
14053,80350367,1307168,1307169,1307170,0
14054,80350368,1307171,1307172,1307173,0
14055,80350369,1307174,1307175,1307176,1307177
14056,80350370,1308178,1308179,1308180,0
14057,80350371,1308181,1308182,1308183,1308184
14058,80350372,1308185,1308186,1308187,0
14059,80350373,1308188,1308189,1308190,0
14060,80350374,1308191,1308192,1308193,1308194
14061,80350375,1309195,1309196,1309197,0
14062,80350376,1309198,1309199,1309200,1309201
14063,80350377,1309202,1309203,1309204,0
14064,80350378,1309205,1309206,1309207,0
14065,80350379,1309208,1309209,1309210,1309211
14066,80350380,1310212,1310213,1310214,0
14067,80350381,1310215,1310216,1310217,1310218
14068,80350382,1310219,1310220,1310221,0
14069,80350383,1310222,1310223,1310224,0
14070,80350384,1310225,1310226,1310227,1310228
14071,80350385,1311229,1311230,1311231,0
14072,80350386,1311232,1311233,1311234,1311235
14073,80350387,1311236,1311237,1311238,0
14074,80350388,1311239,1311240,1311241,0
14075,80350389,1311242,1311243,1311244,1311245
14076,80350390,1312246,1312247,1312248,0
14077,80350391,1312249,1312250,1312251,1312252
14078,80350392,1312253,1312254,1312255,0
14079,80350393,1312256,1312257,1312258,0
14080,80350394,1312259,1312260,1312261,1312262
14081,80350395,1313263,1313264,1313265,0
14082,80350396,1313266,1313267,1313268,1313269
14083,80350397,1313270,1313271,1313272,0
14084,80350398,1313273,1313274,1313275,0
14085,80350399,1313276,1313277,1313278,1313279
14086,80350400,1314280,1314281,1314282,0
14087,80350401,1314283,1314284,1314285,1314286
14088,80350402,1314287,1314288,1314289,0
14089,80350403,1314290,1314291,1314292,0
14090,80350404,1314293,1314294,1314295,1314296
14091,80350405,1315297,1315298,1315299,0
14092,80350406,1315300,1315301,1315302,1315303
14093,80350407,1315304,1315305,1315306,0
14094,80350408,1315307,1315308,1315309,0
14095,80350409,1315310,1315311,1315312,1315313
14096,80350410,1316314,1316315,1316316,0
14097,80350411,1316317,1316318,1316319,1316320
14098,80350412,1316321,1316322,1316323,0
14099,80350413,1316324,1316325,1316326,0
14100,80350414,1316327,1316328,1316329,1316330
