카드_ID,카드_이름_ID,//카드_이름,카드_타입,카드_레벨1_ID,카드_레벨2_ID,카드_레벨3_ID,확률,카드_설명_ID,//설명,경로_ID,//테이블_번호,//순서2
Card_ID,Card_Name_ID,//Card_Name,Card_Type,Card_Level1_ID,Card_Level2_ID,Card_Level3_ID,Probability,Card_Description_ID,//Description,Path_ID,//Table_Num,//Order2
INT,INT,//String,ENUM,INT,INT,INT,FLOAT,INT,//참조,INT,//INT,//INT
081001,80340377,공격력 증가,1,25001,25002,25003,0.0196078431,80300556,공격력을 증가시킨다,840120,08,001
081002,80340381,치명타 피해 증가,1,25004,25005,25006,0.0196078431,80300557,치명타 피해를 증가시킨다.,840123,08,002
081003,80340212,공격 속도 증가,1,25007,25008,25009,0.0196078431,80300558,공격 속도를 증가시킨다.,840121,08,003
081004,80340380,치명타 확률 증가,1,25010,25011,25012,0.0196078431,80300559,치명타 확률을 증가시킨다.,840122,08,004
081005,80290406,적의 공격속도 감소,1,25013,25014,25015,0.0196078431,80300560,적의 공격 속도를 감소시킨다.,840125,08,005
081006,80290407,적의 공격력 감소,1,25016,25017,25018,0.0196078431,80300561,적의 공격력을 감소시킨다.,840124,08,006
081007,80290408,결계 내구도 증가,1,25019,25020,25021,0.0196078431,80300562,결계 내구도를 추가한다.,840126,08,007
081008,80290409,결계 회복,1,25022,25023,25024,0.0196078431,80300563,결계를 회복시킨다.,840127,08,008
082009,80020031,그믐,2,25025,25026,25027,0.0196078431,80300564,그믐의 캐릭터 레벨을 상승시킨다.,,08,009
082010,80020032,테네브라,2,25028,25029,25030,0.0196078431,80300565,테네브라의 캐릭터 레벨을 상승시킨다.,,08,010
082011,80020033,위스퍼,2,25031,25032,25033,0.0196078431,80300566,위스퍼의 캐릭터 레벨을 상승시킨다.,,08,011
082012,80020034,념령,2,25034,25035,25036,0.0196078431,80300567,념령의 캐릭터 레벨을 상승시킨다.,,08,012
082013,80020035,미르,2,25037,25038,25039,0.0196078431,80300568,미르의 캐릭터 레벨을 상승시킨다.,,08,013
082014,80020036,코르,2,25040,25041,25042,0.0196078431,80300569,코르의 캐릭터 레벨을 상승시킨다.,,08,014
082015,80020037,세린,2,25043,25044,25045,0.0196078431,80300570,세린의 캐릭터 레벨을 상승시킨다.,,08,015
082016,80020038,리브라,2,25046,25047,25048,0.0196078431,80300571,리브라의 캐릭터 레벨을 상승시킨다.,,08,016
082017,80020039,누리,2,25049,25050,25051,0.0196078431,80300572,누리의 캐릭터 레벨을 상승시킨다.,,08,017
082018,80020040,이테르,2,25052,25053,25054,0.0196078431,80300573,이테르의 캐릭터 레벨을 상승시킨다.,,08,018
082019,80020041,트레일,2,25055,25056,25057,0.0196078431,80300574,트레일의 캐릭터 레벨을 상승시킨다.,,08,019
082020,80020042,루멘,2,25058,25059,25060,0.0196078431,80300575,루멘의 캐릭터 레벨을 상승시킨다.,,08,020
082021,80020043,도담,2,25061,25062,25063,0.0196078431,80300576,도담의 캐릭터 레벨을 상승시킨다.,,08,021
082022,80020044,루도,2,25064,25065,25066,0.0196078431,80300577,루도의 캐릭터 레벨을 상승시킨다.,,08,022
082023,80020045,펀치,2,25067,25068,25069,0.0196078431,80300578,펀치의 캐릭터 레벨을 상승시킨다.,,08,023
082024,80020046,토비,2,25070,25071,25072,0.0196078431,80300579,토비의 캐릭터 레벨을 상승시킨다.,,08,024
082025,80020047,이오,2,25073,25074,25075,0.0196078431,80300580,이오의 캐릭터 레벨을 상승시킨다.,,08,025
082026,80020048,라티오,2,25076,25077,25078,0.0196078431,80300581,라티오의 캐릭터 레벨을 상승시킨다.,,08,026
082027,80020049,키,2,25079,25080,25081,0.0196078431,80300582,키의 캐릭터 레벨을 상승시킨다.,,08,027
082028,80020050,베리타,2,25082,25083,25084,0.0196078431,80300583,베리타의 캐릭터 레벨을 상승시킨다.,,08,028
081029,80110410,관통력증가,1,26001,0,0,0.0196078431,80120533,투사체의 관통력을 대폭 향상시켜 여러 적을 관통합니다,840097,08,029
081030,80110411,파편화,1,26002,0,0,0.0196078431,80120534,투사체가 적에게 명중 시 4갈래로 갈라지며 근처 적에게 날아갑니다,840098,08,030
081031,80110412,마력 범위 확대,1,26003,0,0,0.0196078431,80120535,광역 스킬 공격의 범위가 40% 증가합니다,840099,08,031
081032,80110413,마력 농도 강화,1,26004,0,0,0.0196078431,80120536,더욱 강력한 마력 농도로 표식의 지속시간이 50% 증가합니다,840100,08,032
081033,80110414,동시 주문,1,26005,0,0,0.0196078431,80120537,주문에 집중해 투사체를 6개 적에게 동시에 발사합니다,840101,08,033
081034,80110415,연속 발사,1,26006,0,0,0.0196078431,80120538,투사체를 매우 빠른 속도로 연속 발사합니다,840102,08,034
081035,80110416,마력의 흔적,1,26007,0,0,0.0196078431,80120539,표식의 데미지 배율이 80% 증가합니다,840103,08,035
081036,80110417,마력 유지 효율 증가,1,26008,0,0,0.0196078431,80120540,DOT 스킬들의 틱당 데미지가 80% 증가합니다,840104,08,036
