Mon_Level_ID,Level_Type,Monster_Grade,Monster_Weight,Endurance,HP,Power,ATK,Move_Speed,Attack_Speed,Exp_Value
2201,Level1,Normal,27.5,110,40,20,16,2.5,0.8,20
2202,Level2,Normal,30,120,216,30,48,1,0.8,22
2203,Level3,Normal,32.5,130,351,40,96,1,0.8,24
2204,Level4,Normal,35,140,504,50,160,1,0.8,26
2205,Level5,MidBoss,62.5,150,715,60,240,1,1,30
2206,Level6,MidBoss,65,160,912,70,336,1,1,32
2207,Level7,MidBoss,67.5,170,1127,80,448,1,1,34
2208,Level8,FinalBoss,95,180,1496,90,576,1,1,36
2209,Level9,FinalBoss,97.5,190,1764,100,720,1,1.5,38
2210,Level10,FinalBoss,100,200,2050,110,880,1,1.5,40
