Mon_Level_ID,Level_Type,Monster_Grade,Monster_Weight,Endurance,HP,Power,ATK,Move_Speed,Attack_Speed,Exp_Value
2201,1,Normal,27.5,110,40,20,16,4,0.8,30
2202,2,Normal,30,120,60,30,48,4,0.8,22
2203,3,Normal,32.5,130,80,40,96,4,0.8,24
2204,4,Normal,35,140,100,50,160,4,0.8,26
2205,5,Elite,62.5,150,3500,60,240,2,0.5,30
2206,6,Elite,65,160,180,70,336,5,1,32
2207,7,Elite,67.5,170,240,80,448,5,1,34
2208,8,Boss,95,180,300,90,576,5,1,36
2209,9,Boss,97.5,190,400,100,720,6,1.5,38
2210,10,Boss,100,200,550,110,880,6,1.5,40
