Party_ID,Party_Name_ID,Party_Size,Req_Char_1_ID,Req_Char_2_ID,Party_Upgrade_Lv1_ID,Effect_1_ID,Effect_1_Value,Party_Upgrade_Lv2_ID,Effect_2_ID,Effect_2_Value,Party_Upgrade_Lv3_ID,Effect_3_ID,Effect_3_Value,Party_Upgrade_Lv4_ID,Effect_4_ID,Effect_4_Value,Party_Upgrade_Lv5_ID,Effect_5_ID,Effect_5_Value
202001,80390607,2,024013,025017,21101,05010,5,21202,05010,10,21303,05010,12,21404,05010,15,21505,05010,20
202002,80390608,2,022007,025017,21101,05010,5,21202,05010,7,21303,05011,10,21404,05003,10,21505,05003,15
202003,80390609,2,024013,022007,21101,05011,2,21202,05011,5,21303,05011,8,21404,05011,10,21505,,20
202004,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202005,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202006,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202007,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202008,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202009,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202010,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202013,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202014,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202015,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202016,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202018,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202019,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202020,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
