Reward_ID,Item_ID,Min_Count,Max_Count,Probability,Is_Fixed
09001,10101,1,3,0.78,0
09002,10102,1,2,0.19,0
09003,10103,1,1,0.025,0
09004,10104,1,1,0.003,0
09005,10105,1,1,0.002,0
09006,10101,1,3,0.74,0
09007,10102,1,2,0.21,0
09008,10103,1,2,0.045,0
09009,10104,1,1,0.003,0
09010,10105,1,1,0.002,0
09011,10101,1,3,0.67,0
09012,10102,1,3,0.24,0
09013,10103,1,2,0.075,0
09014,10104,1,1,0.012,0
09015,10105,1,1,0.003,0
09016,10101,1,3,0.59,0
09017,10102,1,3,0.26,0
09018,10103,1,2,0.12,0
09019,10104,1,1,0.025,0
09020,10105,1,1,0.005,0
09021,10101,1,3,0.52,0
09022,10102,1,3,0.26,0
09023,10103,1,2,0.14,0
09024,10104,1,1,0.065,0
09025,10105,1,1,0.015,0
09026,10106,1,2,0.85,0
09027,10106,1,3,0.9,0
09028,10106,1,3,0.92,0
09029,10106,1,4,0.94,0
09030,10106,1,5,0.96,0
09031,10212,1,1,1,1
09032,1601,110,180,1,1
09033,1601,120,200,1,1
09034,1601,130,210,1,1
09035,1601,140,230,1,1
09036,1601,150,240,1,1
09037,1601,160,260,1,1
09038,1601,170,270,1,1
09039,1601,180,290,1,1
09040,1601,190,300,1,1
09041,1601,200,320,1,1
09042,1601,210,330,1,1
09043,1601,220,340,1,1
09044,1601,230,360,1,1
09045,1601,240,370,1,1
09046,1601,250,390,1,1
09047,1601,260,400,1,1
09048,1601,270,420,1,1
09049,1601,280,430,1,1
09050,1601,290,450,1,1
09051,1601,300,460,1,1
09052,1601,310,470,1,1
09053,1601,320,490,1,1
09054,1601,330,500,1,1
09055,1601,340,520,1,1
09056,1601,350,530,1,1
09057,1601,360,550,1,1
09058,1601,370,560,1,1
09059,1601,380,580,1,1
09060,1601,390,590,1,1
09061,1601,400,600,1,1
09062,1602,28,38,1,1
09063,1602,30,40,1,1
09064,1602,33,43,1,1
09065,1602,35,45,1,1
09066,1602,37,47,1,1
09067,1602,40,50,1,1
09068,1602,42,52,1,1
09069,1602,44,54,1,1
09070,1602,46,56,1,1
09071,1602,49,59,1,1
09072,1602,51,61,1,1
09073,1602,53,63,1,1
09074,1602,56,66,1,1
09075,1602,58,68,1,1
09076,1602,60,70,1,1
09077,1602,63,73,1,1
09078,1602,65,75,1,1
09079,1602,67,77,1,1
09080,1602,70,80,1,1
09081,1602,72,82,1,1
09082,1602,74,84,1,1
09083,1602,76,86,1,1
09084,1602,79,89,1,1
