//스킬ID,//스킬명,행동타입,기본데미지,쿨다운,사거리,투사체속도,범위반경,지속시간,//설명
skill_id,//skill_name,behavior_type,base_damage,cooldown,range,projectile_speed,aoe_radius,duration,//description
int,//string,string,float,float,float,float,float,float,//string
39001,기본공격,Projectile,50,1,20,15,0,0,기본공격 입니다.
39002,파이어볼,Projectile,100,2,10,15,3,0,불꽃 발사
39003,전기 충격,Projectile,40,3,6,15,1,0,전기공격
39004,화살 공격,Projectile,50,5,10,15,0,0,화살공격
39005,물폭탄,Projectile,40,3,12,15,2.5,0,물폭탄
39006,결정화,Projectile,30,2,5,15,1.5,0,결정된 마법을 터트리는 공격
39007,불꽃 파편,Projectile,40,3,7,15,1.5,0,불꽃파편
39008,하트 블룸,Projectile,100,10,10,15,3,0,하트 블룸
39009,슈팅 스타,Projectile,25,2,8,15,0,0,슈팅스타
39010,팝팝,Projectile,30,4,7,15,0,0,팝팝
39011,레이저 빔,BeamRay,20,2,10,15,0,3,레이저
39012,프리즘 레이저,BeamRay,30,5,5,15,0,3,프리즘 레이저
39013,소울,BeamRay,40,7,10,15,0,2,소울
39014,크림슨 볼트,Projectile,30,5,7,15,0,0,크림슨 볼트
39015,윈드 블레이드,Projectile,100,2,10,15,4,0,윈드 블레이드
39016,솔라 코어,Projectile,80,8,7,15,2,0,솔라 코어
39017,트윙클 샷,Projectile,30,4,7,15,0,0,트윙클 샷
39018,블랙 애로우,Projectile,25,2,8,15,0,0,블랙 애로우
39019,녹빛 탄환,Projectile,30,3,10,15,0,0,녹빛 탄환
39020,앰버 샷,Projectile,40,6,6,15,2,0,앰버 샷
39021,블러드 오브,Projectile,30,4,7,15,0,0,블러드 오브
39022,인페르노 버스트,AOE,70,12,10,15,4,0,인페르노 버스트
39023,만개,AOE,75,13,10,15,4,0,만개
39024,대지 전개,AOE,65,10,10,15,4,0,대지 전개
39025,얼음의 심판,AOE,100,15,10,15,6,0,얼음의 심판
39026,전류 폭풍,AOE,80,12,10,15,4,0,전류 폭풍
39027,놕뢰 폭풍,AOE,85,13,10,15,5,0,놕뢰 폭풍
39028,천공 마법진,AOE,90,15,10,15,6,0,천공 마법진
39029,메테오 스트라이크,AOE,80,13,10,15,5,0,메테오 스트라이크
39030,운석 강림,AOE,120,16,10,15,7,0,운석 강림
