서포트ID,//서포트명,SingleProjectile,ExplosiveProjectile,BeamRay,TargetAOE,LinearAOE,GroundAOE,Barrier,Buff,Debuff,Trap,Instant,//설명
support_id,//support_name,SingleProjectile,ExplosiveProjectile,BeamRay,TargetAOE,LinearAOE,GroundAOE,Barrier,Buff,Debuff,Trap,Instant,//description
int,//string,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,//string
2001,연쇄,1,1,1,0,0,0,0,0,0,0,0,투사체/빔이 적 사이 튕김
2002,관통,1,1,1,0,1,0,0,0,0,0,0,투사체가 적을 관통
2003,분열,1,1,0,0,0,0,0,0,0,0,0,충돌시 여러 투사체로 분열
2004,폭발,1,0,0,0,0,0,0,0,0,0,0,충돌시 범위 폭발
2005,유도,1,1,0,0,0,0,0,0,0,0,0,적을 추적
2006,다중발사,1,1,0,0,0,0,0,0,0,0,0,여러 투사체 동시 발사
2007,속사,1,1,1,0,0,0,0,0,0,0,0,공격 속도 증가
2008,둔화,1,1,1,1,1,1,0,0,0,1,1,피격시 이동속도 감소
2009,기절,1,1,1,1,1,1,0,0,0,1,1,피격시 행동 불능
2010,독,1,1,1,1,1,1,0,0,0,1,1,지속 독 데미지
2011,화상,1,1,1,1,1,1,0,0,0,1,1,지속 화상 데미지
2012,빙결,1,1,1,1,1,1,0,0,0,1,1,완전 이동 불가
2013,넉백,1,1,0,1,1,0,0,0,0,0,1,적을 뒤로 밀침
2014,끌어당김,0,0,0,1,0,1,0,0,0,0,0,적을 중심으로 끌어당김
2015,범위증가,0,1,0,1,1,1,1,0,0,1,0,스킬 범위 증가
2016,데미지증가,1,1,1,1,1,1,0,0,0,1,1,스킬 데미지 증가
2017,쿨다운감소,1,1,1,1,1,1,1,1,1,1,1,스킬 쿨다운 감소
2018,방어감소,1,1,1,1,1,1,0,0,1,1,1,적 방어력 감소
2019,잔류,0,0,0,1,1,0,0,0,0,0,0,단발성 AOE가 장판으로 지속
2020,이동,0,0,0,1,0,1,0,0,0,0,0,AOE가 이동하며 공격
2021,확장,0,0,0,1,0,1,0,0,0,0,0,시간에 따라 범위 확장
