Stage_ID,Stage_Name_ID,Chapter_Number,Wave_1_ID,Wave_2_ID,Wave_3_ID,Wave_4_ID,Time_Limit,Barrier_HP,Reward_Group_1_ID,Reward_Group_2_ID,AP_Cost_ID,AP_Cost
10101,80010001,1,06001,06002,06003,0,360,300,17001,17006,1607,6
10202,80010002,2,06004,06005,06006,0,360,400,17001,17007,1607,6
10303,80010003,3,06007,06008,06009,0,360,500,17001,17008,1607,6
10404,80010004,4,06010,06011,06012,0,360,600,17001,17009,1607,6
10505,80010005,5,06013,06014,06015,0,240,700,17001,17010,1607,6
10606,80010006,6,06016,06017,06018,0,240,800,17001,17011,1607,6
10707,80010007,7,06019,06020,06021,0,360,400,17002,17012,1607,6
10808,80010008,8,06022,06023,06024,0,360,400,17002,17013,1607,6
10909,80010009,9,06025,06026,06027,0,360,400,17002,17014,1607,6
11010,80010010,10,06028,06029,06030,0,360,400,17002,17015,1607,6
