Wave_ID,Wave_Name,Monster_ID,Mon_Level_ID,Spawn_Time,Monster_Count,Spawn_Interval
6001,1-1,33015,2201,0,25,0.8
6002,1-2,31001,2201,25,25,0.8
6003,1-3,31001,2201,40,50,0.8
6004,2-1,33015,2201,0,15,1
6005,2-2,34022,2201,25,40,1
6006,2-3,34022,2201,50,40,1
6007,3-1,33018,2201,0,30,0.8
6008,3-2,35029,2201,20,50,0.8
6009,3-3,33016,2201,40,50,0.8
6010,4-1,33015,2201,0,80,0.6
6011,4-2,32008,2201,30,60,0.6
6012,4-3,33016,2201,60,60,0.6
6013,5-1,33018,2201,0,100,0.5
6014,5-2,33016,2201,30,80,0.5
6015,5-3,33017,2205,65,1,0
06016,6-1,31001,2202,0,100,0.5
06017,6-2,33017,2202,50,150,0.5
06018,6-3,31003,2202,90,150,0.5
06019,7-1,31001,2202,0,50,0.3
06020,7-2,33015,2202,30,100,0.3
06021,7-3,31002,2202,60,200,0.3
06022,8-1,31001,2202,0,50,0.3
06023,8-2,34022,2202,30,100,0.3
06024,8-3,31005,2202,60,200,0.3
06025,9-1,31001,2202,0,50,0.3
06026,9-2,35029,2202,30,100,0.3
06027,9-3,31003,2202,60,200,0.3
06028,10-1,31002,2202,0,50,0.3
06029,10-2,31003,2202,30,100,0.3
06030,10-3,31001,2208,60,1,0
