Text_ID,Text
80010001,잉크 + 나침반 = 지도
80010002,Page of Eden's trip
80010003,책장 너머의 왕국
80010004,모래시계와 항해
80010005,마물에게 살아남는 210가지 방법
80010006,아이와 어른과 대륙
80010007,0
80010008,0
80010009,0
80010010,0
80010011,0
80010012,0
80010013,0
80010014,0
80010015,0
80010016,0
80010017,0
80010018,0
80010019,0
80010020,0
80010021,0
80010022,0
80010023,0
80010024,0
80010025,0
80010026,0
80010027,0
80010028,0
80010029,0
80010030,0
80020031,그믐
80020032,테네브라
80020033,위스퍼
80020034,념령
80020035,미르
80020036,코르
80020037,세린
80020038,리브라
80020039,누리
80020040,이테르
80020041,트레일
80020042,루멘
80020043,도담
80020044,루도
80020045,펀치
80020046,토비
80020047,이오
80020048,라티오
80020049,키
80020050,베리타
80030051,조용한 어둠 속에서 섬뜩한 기운을 뿜어내는 침착한 사서
80030052,담담한 얼굴  뒤에 강한 전투력을 숨긴 그림자 전문의 사서
80030053,속삭이는 소리를 다루는 신비롭고 조용한 사서
80030054,광기를 품은 기억의 힘을 다루는 유령사서
80030055,따뜻한 감정으로 상대를 편안하게 만드는 부드러운 사서
80030056,온화한 공명으로 마음을 치유하는 편안한 사서
80030057,감정의 균형을 읽어내어 차분하게 조율하는 사서
80030058,이성과 따뜻함을 조화롭게 담아내는 균형의 사서
80030059,활발함으로 모두를 하나로 모으는 사서
80030060,길을 밝혀 안내하는 든든하고 안정적인 사서
80030061,마력의 흐름을 추적하는 자유롭고 톡톡 튀는 사서
80030062,어느 상황에서도 길을 찾아내는 낙천적인 사서
80030063,듬직한 미소로 주변을 밝히는 긍정 가득한 사서
80030064,민첩하고 장난스러운 기운으로 분위기를 이끄는 사서
80030065,강렬한 한방과 즉흥적인 에너지로 상황을 반전시키는 사서
80030066,주변의 기운을 빠르게 바꿀수 있는 유쾌한 사서
80030067,날카로운 눈빛으로 상황을 분석하는 예리한 사서
80030068,따뜻함과 냉정함을 모두 갖춘 이성적인 사서
80030069,재치있고 꼼꼼한 성격으로 단서를 찾아내는 영리한 사서
80030070,상황의 진실을 꿰뚫는 냉철한 시선을 지닌 사서
80040071,하트 슬라임
80040072,푸른 나비
80040073,장미의 여인
80040074,별의 연인
80040075,유혹의 무희
80040076,사랑의 큐피트
80040077,백장미의 기사
80040078,저주 인형
80040079,피의 신부
80040080,밤의 흡혈귀
80040081,묘지의 좀비
80040082,검은 장막의 유령
80040083,괴기 실험체
80040084,울음의 망령
80040085,찢어진 지도
80040086,바람 방랑자
80040087,심해 탐구자
80040088,숲의 개척자
80040089,사막 탐험가
80040090,황금 나침반
80040091,끈기의 항해사
80040092,풍선 수호병
80040093,신비한 고양이
80040094,바나나 해적
80040095,낡은 깡통 로봇
80040096,트럼펫 원숭이
80040097,광대 마법사
80040098,트릭 인형사
80040099,시계탑 암살자
80040100,질문 악마
80040101,망각의 수사관
80040102,비밀의 문
80040103,커다란 돋보기
80040104,거울 복제자
80040105,그림자 탐정
80050106,핑크색 하트 파티클이 튀는 슬라임
80050107,목소리를 잃은 바다의 마녀형 인어
80050108,사랑의 집착이 깃든 장미정령
80050109,하늘을 건너는 천상의 연인정령
80050110,매혹과 교란에 특화된 공격형
80050111,화살로 적을 매혹시키는 천사형몬스터
80050112,백장미같은 모습의 기사
80050113,스스로 움직이며 공격하는 주술인형
80050114,피로 물든 결혼복의 망령
80050115,붉은 망토의 고전 흡혈귀 귀족
80050116,집단으로 몰려드는 언데드
80050117,머리카락으로 형체를 가린 유령
80050118,"실패한 인조 생명체, 전기 속성 보유"
80050119,통곡으로 주변 마력을 교란함
80050120,오래된 지도 조각이 살아 움직이며 몬스터들의 길을안내
80050121,바람을 타고 이동하는 유랑마법사형 몬스터
80050122,심연의 빛을 품은 갑각형 탐험 몬스터
80050123,덩굴과 나무를 다루는 자연 탐험가 몬스터
80050124,모래 폭풍속에서 생존한 모래 마도사 몬스터
80050125,하늘에서 빛나는 나침반 형태의 새 몬스터
80050126,폭풍에도 굴하지 않는 전설의 항해 정령 몬스터
80050127,풍선을 조종해 폭발시키는 삐에로몬스터
80050128,텔레포트와 분신술을 사용하는 고양이 몬스터
80050129,바나나를 든 우스꽝스러운 모습의 해적 몬스터
80050130,낡은 깡통 로봇 모습의 몬스터
80050131,트럼펫을 치는 원숭이 장난감 모습의 몬스터
80050132,조커와 삐에로가 섞인 모습의 몬스터
80050133,마리오네트처럼 인형을 조종해 전투하는 몬스터
80050134,시계장치와 연동된 그림자 살인귀 몬스터
80050135,수수께끼를 좋아하는 악마 몬스터
80050136,과거 기억을 잃은 수사관 몬스터
80050137,다른 차원으로 연결되는 마도형태의 몬스터
80050138,모든 숨겨진 비밀을 볼 수 있는 마도형태의 몬스터
80050139,자신을 복제하여 전투하는 환영형 몬스터
80050140,분석형 마법 수사관 몬스터
80310141,희미한 마력의종이
80310142,응축된 마력의종이
80310143,비범한 마력의종이
80310144,신성한 마력의종이
80310145,고대 마력의 종이
80310146,잉크
80310147,로맨스 페이지
80310148,코미디 페이지
80310149,모험 페이지
80310150,공포 페이지
80310151,추리 페이지
80310152,승진의 인장
80310153,클립
80310154,룬석
80310155,그믐의 정수
80310156,테네브라의 정수
80310157,위스퍼의 정수
80310158,념령의 정수
80310159,미르의 정수
80310160,코르의 정수
80310161,세린의 정수
80310162,리브라의 정수
80310163,누리의 정수
80310164,이테르의 정수
80310165,트레일의 정수
80310166,루멘의 정수
80310167,도담의 정수
80310168,루도의 정수
80310169,펀치의 정수
80310170,토비의 정수
80310171,이오의 정수
80310172,라티오의 정수
80310173,키의 정수
80310174,베리타의 정수
80330175,일반 책갈피 제작
80330176,고급 책갈피 제작
80330177,유니크 책갈피 제작
80330178,전설 책갈피 제작
80330179,신화 책갈피 제작
80330180,일반 스킬 책갈피 제작
80330181,고급 스킬 책갈피 제작
80330182,유니크 스킬 책갈피 제작
80330183,전설 스킬 책갈피 제작
80330184,신화 스킬 책갈피 제작
80360185,노말
80360186,고급
80360187,유니크
80360188,전설
80360189,신화
80370190,골드
80370191,경험치
80370192,지원서
80370193,추천서
80370194,마석
80400195,전투
80400196,채집
80410197,악몽의 창고
80410198,운명의 창고
80410199,웃음의 창고
80410200,진실의 창고
80410201,미지의 창고
80410202,마도서고 정돈
80410203,마력 장벽 유지 검사
80410204,마도서 표지 복원
80410205,봉인구 안정성 확인
80410206,마력 잔재 정화
80420207,캐릭터뽑기
80420208,책갈피뽑기
80420209,코스튬뽑기
80320210,책갈피: 공격력 증가
80350211,일반 공격력 증가
80350212,고급 공격력 증가
80350213,유니크 공격력 증가
80350214,전설 공격력 증가
80350215,신화 공격력 증가
80370216,던전 출입증
80340217,공격 속도 증가
80370218,행동력
80320219,스킬 책갈피: 큐피드의 화살
80320220,스킬 책갈피: 질투의 불꽃
80320221,스킬 책갈피: 러브 바이러스
80320222,스킬 책갈피: 실연의 아픔
80320223,스킬 책갈피: 장미의 가시
80320224,스킬 책갈피: 세레나데
80320225,스킬 책갈피: 좋은 시간의 추억
80320226,스킬 책갈피: 이별통보
80320227,스킬 책갈피: 로맨틱 무드
80320228,스킬 책갈피: 바나나 연쇄
80320229,스킬 책갈피: 물폭탄 세례
