텍스트ID,분류,//화자 캐릭터,텍스트내용,//테이블번호,//항목번호
Tutorial_Text_ID,Text_Category,//Talker,Text,//Order1,//Order2
INT,INT,//참조,String,INT,INT
8110001,1,세린,"관장님, 부임하시고 첫 업무이시니 하나씩 설명해 드릴게요",81,0001
8110002,1,세린,스토리몬들은 기본적으로 필드에 보이는 책을 통해 현실 세계로 나가려고 해요,81,0002
8110003,1,세린,그래서 결계를 통해 스토리몬들이 나오지 못하도록 하지만,81,0003
8110004,1,세린,결계의 내구도와 지속시간에는 한계가 있기 때문에,81,0004
8110005,1,세린,적들의 공격에 깨지지 않도록 하면서 시간 내에 모두 처리하는게 중요합니다.,81,0005
8110006,1,세린,그렇기 때문에 저희 사서들이 직접 책 속에서 결계를 손상시키려는 스토리몬들을 막는 이유이기도 하죠,81,0006
8110007,1,세린,"그리고, 포탈을 통해 책 속으로 들어갔을 때",81,0007
8110008,1,세린,외부의 마력과 사서들의 연결이 끊기지 않도록 지원을 받기 위해선 연결자가 필요합니다.,81,0008
8110009,1,세린,그게 관장님의 역할이시고요,81,0009
8110010,1,세린,"그럼, 가장 먼저 배치할 사서를 선택해주시겠어요?",81,0010
8110011,1,세린,책에 생성된 포탈은 불안정해서,81,0011
8110012,1,세린,한 번에 한 명의 사서만 배치가 가능하니 유의해주세요,81,0012
8110013,1,세린,"이때, 필드에 배치된 사서들은 일반 공격과 자신이 지닌 스킬을 자동으로 사용합니다.",81,0013
8110014,1,세린,전투를 진행하며 경험치를 일정량 획득하면 저희를 지원해주실 수 있어요.,81,0014
8110015,1,세린,"마력 경험치를 사용하면 사서들을 추가적으로 배치하거나,",81,0015
8110016,1,세린,저희의 마법을 강화시켜서 전투를 유리하게 풀어나갈 수 있답니다,81,0016
8110017,1,세린,"지금은 먼저 배치된 사서가 힘들 수 있으니까, 다른 사서 한명을 더 배치하는게 좋을 것 같아요",81,0017
8110018,1,세린,전투를 해결해 나가는 방법에는 사서들을 강화하는 것 이외에도 특정 사서들의 스킬 형태를 변형시키는 방법이 있답니다,81,0018
8110019,1,세린,스킬의 형태를 변형시키면 더 효과적으로 마물을 처리해 전투를 유리하게 풀어나갈수 있어요,81,0019
8110020,1,세린,스킬의 형태를 바꾸는 방법을 선택해보시겠어요?,81,0020
8110021,1,세린,보조스킬 카드를 선택하시면 하단에 보이는 것 처럼 장착 가능한 스킬을 지닌 사서의 스킬이 표시돼요,81,0021
8110022,1,세린,"첫 업무인데 훌륭하게 성공하셨네요, 축하드려요",81,0022
8110023,1,이오,처음 치곤 괜찮으셨어요,81,0023
8110024,1,도담,오랜만에 괜찮은 관장님을 만난 것 같은데? 앞으로도 잘부탁드려요!,81,0024
8140025,4,세린,"관장님, 아까 전투때 보셔서 아시겠지만...",81,0025
8140026,4,세린,지금 저희 도서관에는 기본적으로 인원이 별로 없어서 사서들이 여러모로 힘든 부분이 많아요,81,0026
8140027,4,세린,"도서관에 인원이 더 있으면 좋을 것 같은데, 새로운 사서들을 모집해보시겠어요?",81,0027
8140028,4,System,메뉴버튼을 터치하면 여러 보조 메뉴들을 확인할 수 있습니다.,81,0028
8140029,4,System,상점으로 들어가면 구매 가능한 상품들을 확인할 수 있습니다.,81,0029
8140030,4,System,뽑기로 들어가면 뽑기를 통해 획득할 수 있는 상품들을 확인할 수 있습니다.,81,0030
8140031,4,System,해당 버튼을 눌러 사서들을 채용할 수 있습니다,81,0031
8120032,2,세린,"새로운 사서들이 도서관에 합류했네요, 이제 조를 편성하러 가보실까요?",81,0032
8120033,2,System,"사서 관리 메뉴에서는 각 사서들을 관리하고, 덱을 설정할 수 있습니다.",81,0033
8120034,2,System,덱을 편성하기 위해 덱 설정으로 이동하세요,81,0034
8120035,2,세린,위에 보이는 장부를 이용해 도서관에 있는 사서들을 한 조로 편성해주시면 돼요,81,0035
8120036,2,세린,아래 목록에서 편성할 수 있는 사서들을 선택하실 수 있어요,81,0036
8120037,2,세린,사서들은 각자 특화된 장르를 지니고 있어요,81,0037
8120038,2,세린,상성 관계에 따라 전투 시 추가적인 데미지를 줄 수도 있으니 참고하세요!,81,0038
8120039,2,세린,장부에는 페이지가 여러게 있어서 여러 조를 짤 수도 있으니 참고해주세요!,81,0039
8130040,3,세린,조를 편성했으니 이제 도서관을 운영하는데 한시름 덜었네요,81,0040
8130041,3,세린,도서관에서는 책에서 튀어나오는 스토리몬을 막는 것 뿐만 아니라 다양한 할 일이 있습니다,81,0041
8130042,3,세린,우선은 파견 업무들을 사서들에게 지시해보시겠어요?,81,0042
8130043,3,세린,"파견지역은 지상과 지하, 두 곳으로 나눠져 있어요",81,0043
8130044,3,세린,이번에는 지상에서 해야하는 일들에 사서들을 파견 해볼까요?,81,0044
8130045,3,세린,파견은 각 지역 별로 할 수 있는 업무들이 다르답니다,81,0045
8130046,3,세린,업무별로 획득할 수 있는 아이템도 다르니 관장님의 필요에 따라 사서들을 파견할 필요가 있어요,81,0046
8130047,3,세린,사서들을 파견할 때는 파견 시간을 정할 수 있습니다,81,0047
8130048,3,세린,파견 시간에 따라 사서들이 가져올 수 있는 아이템의 양도 달라지니 주의해주세요!,81,0048
8150049,5,세린,이제 책갈피를 제작할 수 있게 되었어요!,81,0049
8150050,5,세린,지금 바로 책갈피를 제작하러 가보시겠어요?,81,0050
8150051,5,System,책갈피 제작에선 사서들이 사용하는 책갈피를 제작할 수 있습니다.,81,0051
8150052,5,System,책갈피는 두 종류로 나뉩니다.,81,0052
8150053,5,System,스탯 책갈피는 장착 시 사서의 기본 스탯을 조정할 수 있습니다.,81,0053
8150054,5,System,스킬 책갈피는 장착 시 사서가 해당 스킬 책갈피의 스킬을 사용할 수 있습니다.,81,0054
8150055,5,System,책갈피에는 총 5가지 등급이 있습니다. 등급에 따라 더 좋은 성능의 책갈피가 등장할 확률이 높습니다.,81,0055
8150056,5,System,책갈피 제작 시에는 재료를 소모합니다.,81,0056
8160057,6,세린,처음으로 책갈피를 제작하셨네요!,81,0057
8160058,6,세린,이번에는 제작한 책갈피를 사서에게 장착하러 가보실까요?,81,0058
8160059,6,세린,만들어진 책갈피는 사서 관리 시 각 사서에게 장착 시켜줄 수 있어요,81,0059
8160060,6,System,이곳에서 제작된 책갈피들을 확인할 수 있습니다,81,0060
8160061,6,System,제작된 책갈피를 터치하여 장착하세요,81,0061
8160062,6,세린,책갈피를 받은 사서는 앞으로 전투에서 더욱 강력한 모습을 보여줄 수 있을거에요.,81,0062
8160063,6,세린,앞으로도 전투에서 획득한 재료들로 책갈피를 제작할 수 있으니 잊지 말고 책갈피를 제작하고 사용해주세요!,81,0063
