Wave_ID,Wave_Name,Monster_ID,Mon_Level_ID,Spawn_Time,Monster_Count,Spawn_Interval
06001,1-1,033015,2201,0,50,0.3
06002,1-2,031001,2201,30,100,0.3
06003,1-3,031001,2201,60,200,0.3
06004,2-1,033015,2201,0,50,0.3
06005,2-2,034022,2201,30,100,0.3
06006,2-3,034022,2201,60,200,0.3
06007,3-1,033018,2201,0,50,0.3
06008,3-2,035029,2201,30,100,0.3
06009,3-3,033016,2201,60,200,0.3
06010,4-1,033015,2201,0,50,0.3
06011,4-2,032008,2201,30,100,0.3
06012,4-3,033016,2201,60,200,0.3
06013,5-1,033018,2201,0,50,0.3
06014,5-2,033016,2201,30,100,0.3
06015,5-3,033017,2205,60,1,0
06016,6-1,031001,2202,0,50,0.3
06017,6-2,033017,2202,30,100,0.3
06018,6-3,031003,2202,60,200,0.3
06019,7-1,031001,2202,0,50,0.3
06020,7-2,033015,2202,30,100,0.3
06021,7-3,031002,2202,60,200,0.3
06022,8-1,031001,2202,0,50,0.3
06023,8-2,034022,2202,30,100,0.3
06024,8-3,031005,2202,60,200,0.3
06025,9-1,031001,2202,0,50,0.3
06026,9-2,035029,2202,30,100,0.3
06027,9-3,031003,2202,60,200,0.3
06028,10-1,031002,2202,0,50,0.3
06029,10-2,031003,2202,30,100,0.3
06030,10-3,031001,2208,60,1,0
06031,11-1,031003,2203,0,50,0.3
06032,11-2,032008,2203,30,100,0.3
06033,11-3,031006,2203,60,200,0.3
06034,12-1,031003,2203,0,50,0.3
06035,12-2,033017,2203,30,100,0.3
06036,12-3,031007,2203,60,200,0.3
06037,13-1,034022,2203,0,50,0.3
06038,13-2,033019,2203,30,100,0.3
06039,13-3,034023,2203,60,200,0.3
06040,14-1,034022,2203,0,50,0.3
06041,14-2,031001,2203,30,100,0.3
06042,14-3,034027,2203,60,200,0.3
06043,15-1,034023,2203,0,50,0.3
06044,15-2,034022,2203,30,100,0.3
06045,15-3,034025,2206,60,1,0
06046,16-1,034023,2204,0,50,0.3
06047,16-2,035029,2204,30,100,0.3
06048,16-3,034027,2204,60,200,0.3
06049,17-1,034023,2204,0,50,0.3
06050,17-2,032008,2204,30,100,0.3
06051,17-3,034024,2204,60,200,0.3
06052,18-1,034023,2204,0,50,0.3
06053,18-2,033019,2204,30,100,0.3
06054,18-3,034026,2204,60,200,0.3
06055,19-1,035029,2204,0,50,0.3
06056,19-2,033020,2204,30,100,0.3
06057,19-3,035030,2204,60,200,0.3
06058,20-1,035029,2204,0,50,0.3
06059,20-2,035033,2204,30,100,0.3
06060,20-3,035030,2209,60,1,0
06061,21-1,035029,2204,0,50,0.3
06062,21-2,031003,2204,30,100,0.3
06063,21-3,035031,2204,60,200,0.3
06064,22-1,035029,2204,0,50,0.3
06065,22-2,034022,2204,30,100,0.3
06066,22-3,035032,2204,60,200,0.3
06067,23-1,035029,2204,0,50,0.3
06068,23-2,032008,2204,30,100,0.3
06069,23-3,035034,2204,60,200,0.3
06070,24-1,035029,2204,0,50,0.3
06071,24-2,033016,2204,30,100,0.3
06072,24-3,035035,2204,60,200,0.3
06073,25-1,032008,2204,0,50,0.3
06074,25-2,032011,2204,30,100,0.3
06075,25-3,032009,2207,60,200,0.3
06076,26-1,032008,2204,0,50,0.3
06077,26-2,033020,2204,30,100,0.3
06078,26-3,032010,2204,60,200,0.3
06079,27-1,032008,2204,0,50,0.3
06080,27-2,031003,2204,30,100,0.3
06081,27-3,032012,2204,60,200,0.3
06082,28-1,032008,2204,0,50,0.3
06083,28-2,034022,2204,30,100,0.3
06084,28-3,032013,2204,60,200,0.3
06085,29-1,032008,2204,0,50,0.3
06086,29-2,035029,2204,30,100,0.3
06087,29-3,032014,2204,60,200,0.3
06088,30-1,032009,2204,0,50,0.3
06089,30-2,032010,2204,30,100,0.3
06090,30-3,032011,2210,60,200,0.3
